Order Date,Order ID,Product,Purchase Address,Quantity Ordered,Price Each,Cost price
2019-05-31 07:55:00,204797,Macbook Pro Laptop,"398 Pine St, Boston, MA 02215",1,1700,561
2019-05-14 02:41:00,194396,Apple Airpods Headphones,"788 8th St, San Francisco, CA 94016",1,150,97.5
2019-06-30 13:53:00,212288,Lightning Charging Cable,"93 Main St, Dallas, TX 75001",1,14.95,7.475
2019-02-22 11:10:00,155533,AA Batteries (4-pack),"895 Cedar St, Dallas, TX 75001",1,3.84,1.92
2019-06-14 16:50:00,212206,27in FHD Monitor,"645 Pine St, Dallas, TX 75001",1,149.99,97.4935
2019-05-05 11:25:00,201554,27in 4K Gaming Monitor,"726 Park St, Austin, TX 73301",1,389.99,128.6967
2019-11-27 14:44:00,291671,Apple Airpods Headphones,"589 Church St, Austin, TX 73301",1,150,97.5
2019-08-13 22:35:00,247063,iPhone,"100 Jefferson St, Los Angeles, CA 90001",1,700,231
2019-11-25 17:14:00,290760,AA Batteries (4-pack),"879 Wilson St, San Francisco, CA 94016",2,3.84,1.92
2019-09-16 21:06:00,251069,AA Batteries (4-pack),"453 Meadow St, San Francisco, CA 94016",1,3.84,1.92
2019-03-22 08:48:00,175461,Wired Headphones,"67 13th St, San Francisco, CA 94016",1,11.99,5.995
2019-07-29 08:03:00,229026,AA Batteries (4-pack),"396 Meadow St, San Francisco, CA 94016",2,3.84,1.92
2019-07-02 15:47:00,235295,Wired Headphones,"860 Center St, New York City, NY 10001",1,11.99,5.995
2019-09-08 17:55:00,257118,AA Batteries (4-pack),"814 Lakeview St, San Francisco, CA 94016",1,3.84,1.92
2019-07-18 09:21:00,222931,USB-C Charging Cable,"145 Pine St, Boston, MA 02215",1,11.95,5.975
2019-12-18 10:56:00,313822,Wired Headphones,"235 Jefferson St, Seattle, WA 98101",1,11.99,5.995
2019-10-03 20:30:00,266120,34in Ultrawide Monitor,"532 Maple St, Seattle, WA 98101",1,379.99,125.3967
2019-12-28 00:41:00,319566,iPhone,"260 West St, Dallas, TX 75001",1,700,231
2019-09-28 22:25:00,256314,AA Batteries (4-pack),"76 Walnut St, Los Angeles, CA 90001",1,3.84,1.92
2019-02-02 09:46:00,161148,Bose SoundSport Headphones,"226 Hill St, Portland, OR 97035",1,99.99,49.995
2019-04-12 16:01:00,189074,AAA Batteries (4-pack),"968 Pine St, Boston, MA 02215",2,2.99,1.495
2019-07-05 18:04:00,234272,Bose SoundSport Headphones,"810 Jefferson St, Atlanta, GA 30301",1,99.99,49.995
2019-03-08 00:01:00,173428,USB-C Charging Cable,"183 Hill St, Portland, OR 97035",1,11.95,5.975
2019-12-03 15:25:00,302976,ThinkPad Laptop,"542 11th St, Boston, MA 02215",1,999.99,329.9967
2019-04-26 09:07:00,182299,Lightning Charging Cable,"833 North St, Boston, MA 02215",1,14.95,7.475
2019-07-14 13:30:00,231562,Apple Airpods Headphones,"454 Center St, Los Angeles, CA 90001",1,150,97.5
2019-01-13 11:10:00,145696,Lightning Charging Cable,"44 Elm St, Los Angeles, CA 90001",1,14.95,7.475
2019-12-12 15:24:00,311927,AA Batteries (4-pack),"317 Cherry St, New York City, NY 10001",1,3.84,1.92
2019-10-20 21:34:00,268961,AA Batteries (4-pack),"281 9th St, Los Angeles, CA 90001",1,3.84,1.92
2019-05-29 08:35:00,205935,AAA Batteries (4-pack),"185 Wilson St, San Francisco, CA 94016",2,2.99,1.495
2019-07-13 18:19:00,236154,Bose SoundSport Headphones,"49 Jackson St, San Francisco, CA 94016",1,99.99,49.995
2019-04-11 03:55:00,192859,27in FHD Monitor,"678 West St, New York City, NY 10001",1,149.99,97.4935
2019-04-13 12:54:00,188700,27in FHD Monitor,"766 Sunset St, Atlanta, GA 30301",1,149.99,97.4935
2019-05-19 13:55:00,206566,Apple Airpods Headphones,"527 North St, New York City, NY 10001",1,150,97.5
2019-03-16 16:39:00,174987,AAA Batteries (4-pack),"608 6th St, Portland, OR 97035",1,2.99,1.495
2019-03-25 13:59:00,170452,Apple Airpods Headphones,"172 Lakeview St, New York City, NY 10001",1,150,97.5
2019-07-05 18:53:00,232342,Apple Airpods Headphones,"262 Willow St, Boston, MA 02215",1,150,97.5
2019-04-17 20:30:00,177782,27in 4K Gaming Monitor,"29 5th St, San Francisco, CA 94016",1,389.99,128.6967
2019-09-13 12:29:00,255262,27in FHD Monitor,"262 Cedar St, San Francisco, CA 94016",1,149.99,97.4935
2019-12-28 15:14:00,297453,Lightning Charging Cable,"469 Ridge St, Portland, OR 97035",1,14.95,7.475
2019-07-26 10:17:00,233198,Vareebadd Phone,"148 Willow St, Atlanta, GA 30301",1,400,132
2019-06-17 10:14:00,220056,Flatscreen TV,"189 Adams St, San Francisco, CA 94016",1,300,99
2019-08-20 18:54:00,238855,AA Batteries (4-pack),"904 Pine St, Dallas, TX 75001",2,3.84,1.92
2019-10-12 18:25:00,274193,AA Batteries (4-pack),"683 Church St, San Francisco, CA 94016",1,3.84,1.92
2019-12-15 10:35:00,315693,Apple Airpods Headphones,"171 South St, Los Angeles, CA 90001",1,150,97.5
2019-04-04 14:30:00,177723,AA Batteries (4-pack),"283 4th St, Atlanta, GA 30301",2,3.84,1.92
2019-02-06 11:52:00,156722,Lightning Charging Cable,"948 Lakeview St, Portland, OR 97035",1,14.95,7.475
2019-11-02 12:37:00,293513,iPhone,"255 Madison St, New York City, NY 10001",1,700,231
2019-10-17 11:41:00,263634,27in FHD Monitor,"647 Spruce St, San Francisco, CA 94016",1,149.99,97.4935
2019-04-11 21:27:00,181630,Wired Headphones,"964 Church St, San Francisco, CA 94016",1,11.99,5.995
2019-03-13 21:07:00,172800,Google Phone,"321 Hill St, Austin, TX 73301",1,600,198
2019-10-28 23:29:00,276863,Wired Headphones,"134 Wilson St, Los Angeles, CA 90001",1,11.99,5.995
2019-11-15 23:49:00,279690,Flatscreen TV,"240 Spruce St, San Francisco, CA 94016",1,300,99
2019-07-18 17:21:00,230739,Bose SoundSport Headphones,"438 14th St, Dallas, TX 75001",1,99.99,49.995
2019-09-28 18:45:00,256528,ThinkPad Laptop,"405 14th St, New York City, NY 10001",1,999.99,329.9967
2019-03-24 01:57:00,166643,USB-C Charging Cable,"937 4th St, Los Angeles, CA 90001",1,11.95,5.975
2019-02-06 20:20:00,151373,27in 4K Gaming Monitor,"658 River St, Los Angeles, CA 90001",1,389.99,128.6967
2019-03-25 09:35:00,176289,Wired Headphones,"854 Park St, New York City, NY 10001",1,11.99,5.995
2019-10-25 09:16:00,260029,Lightning Charging Cable,"666 11th St, San Francisco, CA 94016",1,14.95,7.475
2019-12-20 18:42:00,312329,Bose SoundSport Headphones,"15 8th St, Boston, MA 02215",1,99.99,49.995
2019-08-30 15:59:00,238096,iPhone,"535 9th St, Atlanta, GA 30301",1,700,231
2019-07-26 08:59:00,224632,Apple Airpods Headphones,"673 Lakeview St, Los Angeles, CA 90001",1,150,97.5
2019-10-10 15:33:00,271169,ThinkPad Laptop,"119 Washington St, Dallas, TX 75001",1,999.99,329.9967
2019-10-16 13:00:00,271141,USB-C Charging Cable,"269 Madison St, Seattle, WA 98101",1,11.95,5.975
2019-03-10 21:55:00,175369,AA Batteries (4-pack),"86 Cherry St, Austin, TX 73301",1,3.84,1.92
2019-12-13 13:22:00,318784,Apple Airpods Headphones,"124 Dogwood St, Dallas, TX 75001",1,150,97.5
2019-07-03 21:44:00,231071,iPhone,"447 West St, San Francisco, CA 94016",1,700,231
2019-04-30 20:48:00,181130,AA Batteries (4-pack),"917 10th St, New York City, NY 10001",2,3.84,1.92
2019-12-15 15:54:00,301503,USB-C Charging Cable,"105 North St, Dallas, TX 75001",1,11.95,5.975
2019-06-02 18:18:00,221465,iPhone,"994 River St, New York City, NY 10001",1,700,231
2019-04-20 17:55:00,186556,AAA Batteries (4-pack),"443 Hickory St, Austin, TX 73301",1,2.99,1.495
2019-04-16 18:10:00,181615,AAA Batteries (4-pack),"548 10th St, Boston, MA 02215",1,2.99,1.495
2019-04-04 16:52:00,193973,27in FHD Monitor,"546 10th St, San Francisco, CA 94016",1,149.99,97.4935
2019-12-15 11:33:00,310687,27in FHD Monitor,"603 Hill St, San Francisco, CA 94016",1,149.99,97.4935
2019-05-13 09:42:00,198272,USB-C Charging Cable,"58 Wilson St, Austin, TX 73301",1,11.95,5.975
2019-12-16 13:02:00,318941,27in FHD Monitor,"723 Highland St, New York City, NY 10001",1,149.99,97.4935
2019-12-24 13:04:00,312513,27in FHD Monitor,"56 7th St, Boston, MA 02215",1,149.99,97.4935
2019-10-08 21:03:00,271485,AA Batteries (4-pack),"107 Jackson St, Atlanta, GA 30301",1,3.84,1.92
2019-05-29 17:17:00,206986,AA Batteries (4-pack),"655 Cherry St, Portland, OR 97035",2,3.84,1.92
2019-02-06 13:12:00,152406,USB-C Charging Cable,"835 Center St, San Francisco, CA 94016",1,11.95,5.975
2019-04-13 21:56:00,182321,Apple Airpods Headphones,"949 Elm St, Seattle, WA 98101",1,150,97.5
2019-06-27 02:59:00,221556,Lightning Charging Cable,"842 Cherry St, Dallas, TX 75001",1,14.95,7.475
2019-10-11 13:19:00,278769,AA Batteries (4-pack),"593 Park St, Portland, OR 97035",1,3.84,1.92
2019-07-13 19:37:00,230726,AA Batteries (4-pack),"826 Walnut St, San Francisco, CA 94016",2,3.84,1.92
2019-02-15 09:41:00,159001,USB-C Charging Cable,"27 5th St, San Francisco, CA 94016",1,11.95,5.975
2019-09-21 14:40:00,255266,27in 4K Gaming Monitor,"137 Hickory St, San Francisco, CA 94016",1,389.99,128.6967
2019-07-27 10:18:00,233553,Macbook Pro Laptop,"456 Spruce St, Austin, TX 73301",1,1700,561
2019-12-29 21:49:00,304850,ThinkPad Laptop,"729 7th St, Seattle, WA 98101",1,999.99,329.9967
2019-04-06 16:01:00,181551,27in FHD Monitor,"226 Jackson St, New York City, NY 10001",1,149.99,97.4935
2019-10-25 13:05:00,264473,34in Ultrawide Monitor,"493 1st St, Boston, MA 02215",1,379.99,125.3967
2019-12-22 21:49:00,312023,Apple Airpods Headphones,"386 Wilson St, Los Angeles, CA 90001",1,150,97.5
2019-04-20 12:45:00,179860,LG Dryer,"762 Meadow St, Dallas, TX 75001",1,600,198
2019-10-27 17:39:00,276414,AA Batteries (4-pack),"965 Park St, Seattle, WA 98101",1,3.84,1.92
2019-06-04 17:32:00,219158,Wired Headphones,"588 Adams St, San Francisco, CA 94016",1,11.99,5.995
2019-07-18 04:52:00,235556,Apple Airpods Headphones,"730 8th St, San Francisco, CA 94016",1,150,97.5
2019-10-18 11:07:00,264419,AA Batteries (4-pack),"964 12th St, Seattle, WA 98101",1,3.84,1.92
2019-10-11 06:53:00,263377,USB-C Charging Cable,"971 River St, Atlanta, GA 30301",1,11.95,5.975
2019-02-22 10:40:00,154576,Google Phone,"331 Madison St, San Francisco, CA 94016",1,600,198
2019-10-03 23:27:00,261068,USB-C Charging Cable,"370 Chestnut St, San Francisco, CA 94016",1,11.95,5.975
2019-02-14 14:55:00,159862,Vareebadd Phone,"34 Maple St, Portland, OR 97035",1,400,132
2019-05-10 13:18:00,199405,ThinkPad Laptop,"462 Church St, Los Angeles, CA 90001",1,999.99,329.9967
2019-10-07 09:20:00,268495,27in 4K Gaming Monitor,"294 Meadow St, Atlanta, GA 30301",1,389.99,128.6967
2019-05-19 16:14:00,195383,USB-C Charging Cable,"64 8th St, Boston, MA 02215",1,11.95,5.975
2019-05-02 15:37:00,208304,27in 4K Gaming Monitor,"925 4th St, Los Angeles, CA 90001",1,389.99,128.6967
2019-11-28 15:51:00,293890,Lightning Charging Cable,"248 River St, New York City, NY 10001",1,14.95,7.475
2019-08-22 10:35:00,244489,Apple Airpods Headphones,"892 Johnson St, Dallas, TX 75001",1,150,97.5
2019-09-01 19:12:00,251509,Bose SoundSport Headphones,"614 1st St, Austin, TX 73301",1,99.99,49.995
2019-05-29 20:39:00,200005,USB-C Charging Cable,"461 6th St, Dallas, TX 75001",1,11.95,5.975
2019-10-17 13:12:00,273755,Wired Headphones,"201 Highland St, San Francisco, CA 94016",1,11.99,5.995
2019-07-24 10:33:00,231931,Wired Headphones,"976 Dogwood St, Austin, TX 73301",1,11.99,5.995
2019-04-07 11:24:00,184848,AAA Batteries (4-pack),"60 Main St, Los Angeles, CA 90001",1,2.99,1.495
2019-07-17 19:08:00,235272,Bose SoundSport Headphones,"899 Jefferson St, San Francisco, CA 94016",1,99.99,49.995
2019-10-01 17:55:00,273003,Flatscreen TV,"49 Dogwood St, Boston, MA 02215",1,300,99
2019-05-30 19:22:00,202273,Flatscreen TV,"200 Lake St, Seattle, WA 98101",1,300,99
2019-12-12 15:59:00,316233,Wired Headphones,"344 North St, Portland, OR 97035",1,11.99,5.995
2019-04-17 16:59:00,182718,Apple Airpods Headphones,"593 Madison St, Portland, OR 97035",1,150,97.5
2019-04-04 18:11:00,177348,Macbook Pro Laptop,"972 9th St, Seattle, WA 98101",1,1700,561
2019-07-18 02:04:00,225382,27in FHD Monitor,"912 Elm St, Portland, OR 97035",1,149.99,97.4935
2019-03-27 15:03:00,168736,Apple Airpods Headphones,"407 Maple St, New York City, NY 10001",1,150,97.5
2019-08-16 17:59:00,247769,Macbook Pro Laptop,"307 Cedar St, Los Angeles, CA 90001",1,1700,561
2019-12-28 14:56:00,302139,Bose SoundSport Headphones,"81 Madison St, Dallas, TX 75001",1,99.99,49.995
2019-03-23 12:33:00,169937,ThinkPad Laptop,"24 Madison St, New York City, NY 10001",1,999.99,329.9967
2019-10-15 21:16:00,264201,AAA Batteries (4-pack),"754 Main St, Dallas, TX 75001",1,2.99,1.495
2019-06-22 21:48:00,210274,27in FHD Monitor,"436 West St, Atlanta, GA 30301",1,149.99,97.4935
2019-12-02 18:59:00,306819,Bose SoundSport Headphones,"435 14th St, Seattle, WA 98101",1,99.99,49.995
2019-11-16 21:16:00,287171,AAA Batteries (4-pack),"375 Lincoln St, Seattle, WA 98101",1,2.99,1.495
2019-04-27 18:53:00,184906,Wired Headphones,"878 Pine St, Seattle, WA 98101",1,11.99,5.995
2019-06-24 09:19:00,212268,Bose SoundSport Headphones,"101 Lakeview St, Seattle, WA 98101",1,99.99,49.995
2019-11-19 11:08:00,293735,iPhone,"816 Madison St, San Francisco, CA 94016",1,700,231
2019-03-04 05:59:00,170374,Google Phone,"337 7th St, San Francisco, CA 94016",1,600,198
2019-11-22 09:57:00,278956,AA Batteries (4-pack),"894 Maple St, San Francisco, CA 94016",1,3.84,1.92
2019-01-13 14:11:00,143952,Wired Headphones,"840 Adams St, San Francisco, CA 94016",1,11.99,5.995
2019-05-30 04:34:00,195442,Lightning Charging Cable,"102 Meadow St, Los Angeles, CA 90001",2,14.95,7.475
2019-12-30 11:39:00,308070,AA Batteries (4-pack),"649 Highland St, Atlanta, GA 30301",2,3.84,1.92
2019-07-31 18:35:00,234785,AAA Batteries (4-pack),"247 Lakeview St, San Francisco, CA 94016",1,2.99,1.495
2019-04-12 20:05:00,186787,iPhone,"888 Meadow St, San Francisco, CA 94016",1,700,231
2019-11-21 10:56:00,279316,Vareebadd Phone,"644 Main St, San Francisco, CA 94016",1,400,132
2019-12-27 23:51:00,314654,Bose SoundSport Headphones,"730 Cedar St, New York City, NY 10001",1,99.99,49.995
2019-08-25 07:46:00,239213,AA Batteries (4-pack),"951 Jackson St, San Francisco, CA 94016",1,3.84,1.92
2019-11-27 11:49:00,295203,Wired Headphones,"311 5th St, San Francisco, CA 94016",1,11.99,5.995
2019-08-17 09:27:00,237035,34in Ultrawide Monitor,"875 North St, Los Angeles, CA 90001",1,379.99,125.3967
2019-05-14 17:37:00,197436,Bose SoundSport Headphones,"638 Pine St, Los Angeles, CA 90001",1,99.99,49.995
2019-09-29 19:01:00,259177,Wired Headphones,"393 Walnut St, Los Angeles, CA 90001",1,11.99,5.995
2019-04-19 10:49:00,184621,iPhone,"547 5th St, Austin, TX 73301",1,700,231
2019-09-27 16:32:00,250313,27in FHD Monitor,"744 1st St, New York City, NY 10001",1,149.99,97.4935
2019-03-28 21:00:00,171396,27in FHD Monitor,"787 Center St, Seattle, WA 98101",1,149.99,97.4935
2019-11-07 15:16:00,293222,Wired Headphones,"670 Wilson St, Seattle, WA 98101",2,11.99,5.995
2019-12-27 15:05:00,300907,AAA Batteries (4-pack),"303 Chestnut St, San Francisco, CA 94016",1,2.99,1.495
2019-06-30 18:19:00,210469,27in FHD Monitor,"862 Spruce St, San Francisco, CA 94016",1,149.99,97.4935
2019-01-10 16:45:00,144565,AAA Batteries (4-pack),"392 7th St, Boston, MA 02215",1,2.99,1.495
2019-06-05 22:14:00,216070,Lightning Charging Cable,"879 North St, Los Angeles, CA 90001",1,14.95,7.475
2019-09-30 23:09:00,253977,Lightning Charging Cable,"917 8th St, Atlanta, GA 30301",1,14.95,7.475
2019-11-05 18:12:00,280107,Flatscreen TV,"132 Elm St, San Francisco, CA 94016",1,300,99
2019-03-27 12:08:00,174280,Bose SoundSport Headphones,"636 Cherry St, Los Angeles, CA 90001",1,99.99,49.995
2019-04-24 01:10:00,191352,Macbook Pro Laptop,"536 Highland St, Atlanta, GA 30301",1,1700,561
2019-03-01 12:00:00,163770,AA Batteries (4-pack),"996 12th St, San Francisco, CA 94016",2,3.84,1.92
